,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'RefBks'}),frozenset({'ChildBks'}),0.2145,0.423,0.1515,0.7062937062937062,1.669725073980393,0.0607665,1.9645476190476185
1,frozenset({'GeogBks'}),frozenset({'ChildBks'}),0.276,0.423,0.195,0.7065217391304347,1.6702641587007914,0.078252,1.9660740740740734
2,frozenset({'ItalCook'}),frozenset({'ChildBks'}),0.1135,0.423,0.085,0.748898678414097,1.7704460482602766,0.03698950000000001,2.2978771929824564
3,frozenset({'RefBks'}),frozenset({'CookBks'}),0.2145,0.431,0.1525,0.710955710955711,1.649549213354318,0.06005049999999999,1.9685564516129033
4,frozenset({'ItalCook'}),frozenset({'CookBks'}),0.1135,0.431,0.1135,1.0,2.320185614849188,0.0645815,inf
5,frozenset({'ItalArt'}),frozenset({'CookBks'}),0.0485,0.431,0.041,0.845360824742268,1.9613940249240558,0.0200965,3.6795333333333327
6,frozenset({'ItalArt'}),frozenset({'ArtBks'}),0.0485,0.241,0.0485,1.0,4.149377593360996,0.036811500000000004,inf
7,"frozenset({'ChildBks', 'YouthBks'})",frozenset({'CookBks'}),0.165,0.431,0.129,0.7818181818181819,1.8139632988820924,0.057885000000000006,2.607916666666667
8,"frozenset({'YouthBks', 'CookBks'})",frozenset({'ChildBks'}),0.162,0.423,0.129,0.7962962962962963,1.8824971543647666,0.060474,2.8325454545454543
9,"frozenset({'YouthBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1155,0.423,0.095,0.8225108225108225,1.9444700295764126,0.0461435,3.25090243902439
10,"frozenset({'YouthBks', 'RefBks'})",frozenset({'ChildBks'}),0.0965,0.423,0.083,0.8601036269430052,2.033341907666679,0.0421805,4.1244814814814825
11,"frozenset({'ArtBks', 'YouthBks'})",frozenset({'ChildBks'}),0.101,0.423,0.0805,0.797029702970297,1.884230976289118,0.037777,2.842780487804877
12,"frozenset({'GeogBks', 'YouthBks'})",frozenset({'ChildBks'}),0.1205,0.423,0.099,0.8215767634854773,1.9422618522115302,0.04802850000000001,3.233883720930234
13,"frozenset({'YouthBks', 'ItalCook'})",frozenset({'ChildBks'}),0.059,0.423,0.046,0.7796610169491526,1.8431702528348761,0.021043000000000003,2.618692307692308
14,"frozenset({'ChildBks', 'DoItYBks'})",frozenset({'CookBks'}),0.184,0.431,0.146,0.7934782608695652,1.8410168465651164,0.06669599999999999,2.7551578947368416
15,"frozenset({'DoItYBks', 'CookBks'})",frozenset({'ChildBks'}),0.1875,0.423,0.146,0.7786666666666666,1.8408195429472025,0.0666875,2.606927710843373
16,"frozenset({'ChildBks', 'RefBks'})",frozenset({'CookBks'}),0.1515,0.431,0.1225,0.8085808580858086,1.8760576753731057,0.057203500000000004,2.9725344827586206
17,"frozenset({'CookBks', 'RefBks'})",frozenset({'ChildBks'}),0.1525,0.423,0.1225,0.8032786885245902,1.8990039917839012,0.0579925,2.9330833333333333
18,"frozenset({'ArtBks', 'ChildBks'})",frozenset({'CookBks'}),0.1625,0.431,0.1265,0.7784615384615384,1.8061752632518293,0.0564625,2.568402777777777
19,"frozenset({'ArtBks', 'CookBks'})",frozenset({'ChildBks'}),0.167,0.423,0.1265,0.7574850299401197,1.7907447516314887,0.055859000000000006,2.3792345679012334
20,"frozenset({'ChildBks', 'GeogBks'})",frozenset({'CookBks'}),0.195,0.431,0.1495,0.7666666666666666,1.7788089713843773,0.06545499999999999,2.4385714285714277
21,"frozenset({'GeogBks', 'CookBks'})",frozenset({'ChildBks'}),0.1925,0.423,0.1495,0.7766233766233765,1.835989070031623,0.0680725,2.5830813953488363
