,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'ItalCook'}),frozenset({'CookBks'}),0.1135,0.431,0.1135,1.0,2.320185614849188,0.0645815,inf
1,"frozenset({'YouthBks', 'DoItYBks'})",frozenset({'ChildBks'}),0.1155,0.423,0.095,0.8225108225108225,1.9444700295764126,0.0461435,3.25090243902439
2,"frozenset({'YouthBks', 'RefBks'})",frozenset({'ChildBks'}),0.0965,0.423,0.083,0.8601036269430052,2.033341907666679,0.0421805,4.1244814814814825
3,"frozenset({'GeogBks', 'YouthBks'})",frozenset({'ChildBks'}),0.1205,0.423,0.099,0.8215767634854773,1.9422618522115302,0.04802850000000001,3.233883720930234
4,"frozenset({'ChildBks', 'RefBks'})",frozenset({'CookBks'}),0.1515,0.431,0.1225,0.8085808580858086,1.8760576753731057,0.057203500000000004,2.9725344827586206
5,"frozenset({'CookBks', 'RefBks'})",frozenset({'ChildBks'}),0.1525,0.423,0.1225,0.8032786885245902,1.8990039917839012,0.0579925,2.9330833333333333
6,"frozenset({'ChildBks', 'ItalCook'})",frozenset({'CookBks'}),0.085,0.431,0.085,1.0,2.320185614849188,0.048365000000000005,inf
7,"frozenset({'DoItYBks', 'RefBks'})",frozenset({'ChildBks'}),0.1055,0.423,0.09,0.8530805687203792,2.0167389331451044,0.0453735,3.927322580645162
8,"frozenset({'ArtBks', 'RefBks'})",frozenset({'ChildBks'}),0.0895,0.423,0.076,0.8491620111731844,2.007475203719112,0.0381415,3.8252962962962958
9,"frozenset({'GeogBks', 'RefBks'})",frozenset({'ChildBks'}),0.1105,0.423,0.094,0.8506787330316742,2.0110608345902463,0.0472585,3.8641515151515144
10,"frozenset({'YouthBks', 'DoItYBks'})",frozenset({'CookBks'}),0.1155,0.431,0.095,0.8225108225108225,1.908377778447384,0.0452195,3.2058292682926828
11,"frozenset({'YouthBks', 'RefBks'})",frozenset({'CookBks'}),0.0965,0.431,0.0775,0.8031088082901554,1.8633615041534928,0.035908499999999996,2.8899210526315784
12,"frozenset({'ArtBks', 'YouthBks'})",frozenset({'CookBks'}),0.101,0.431,0.081,0.8019801980198019,1.8607429188394475,0.037469,2.8734499999999987
13,"frozenset({'YouthBks', 'GeogBks'})",frozenset({'CookBks'}),0.1205,0.431,0.097,0.8049792531120332,1.867701283322583,0.04506450000000001,2.9176382978723407
14,"frozenset({'DoItYBks', 'RefBks'})",frozenset({'CookBks'}),0.1055,0.431,0.0845,0.8009478672985783,1.8583477199502976,0.03902950000000001,2.8585476190476196
15,"frozenset({'ArtBks', 'DoItYBks'})",frozenset({'CookBks'}),0.1235,0.431,0.1015,0.8218623481781377,1.90687319762909,0.04827150000000001,3.1941590909090922
16,"frozenset({'GeogBks', 'DoItYBks'})",frozenset({'CookBks'}),0.1325,0.431,0.1085,0.8188679245283018,1.8999255789519764,0.051392499999999994,3.141354166666665
17,"frozenset({'GeogBks', 'RefBks'})",frozenset({'CookBks'}),0.1105,0.431,0.089,0.8054298642533936,1.868746784810658,0.041374499999999995,2.9243953488372076
