,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Sixth Sense'}),frozenset({'Gladiator'}),0.6,0.7,0.5,0.8333333333333334,1.1904761904761907,0.08000000000000002,1.8000000000000007
1,frozenset({'Green Mile'}),frozenset({'Sixth Sense'}),0.2,0.6,0.2,1.0,1.6666666666666667,0.08000000000000002,inf
2,frozenset({'V1_Sixth Sense'}),frozenset({'Sixth Sense'}),0.2,0.6,0.2,1.0,1.6666666666666667,0.08000000000000002,inf
3,frozenset({'V3_Sixth Sense'}),frozenset({'Sixth Sense'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
4,frozenset({'V4_Green Mile'}),frozenset({'Sixth Sense'}),0.2,0.6,0.2,1.0,1.6666666666666667,0.08000000000000002,inf
5,frozenset({'Patriot'}),frozenset({'Gladiator'}),0.6,0.7,0.6,1.0,1.4285714285714286,0.18,inf
6,frozenset({'Gladiator'}),frozenset({'Patriot'}),0.7,0.6,0.6,0.8571428571428572,1.4285714285714288,0.18,2.8000000000000016
7,frozenset({'V1_Gladiator'}),frozenset({'Gladiator'}),0.6,0.7,0.6,1.0,1.4285714285714286,0.18,inf
8,frozenset({'Gladiator'}),frozenset({'V1_Gladiator'}),0.7,0.6,0.6,0.8571428571428572,1.4285714285714288,0.18,2.8000000000000016
9,frozenset({'Gladiator'}),frozenset({'V2_Patriot'}),0.7,0.6,0.6,0.8571428571428572,1.4285714285714288,0.18,2.8000000000000016
10,frozenset({'V2_Patriot'}),frozenset({'Gladiator'}),0.6,0.7,0.6,1.0,1.4285714285714286,0.18,inf
11,frozenset({'V3_Sixth Sense'}),frozenset({'Gladiator'}),0.4,0.7,0.4,1.0,1.4285714285714286,0.12000000000000005,inf
12,frozenset({'LOTR1'}),frozenset({'LOTR2'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
13,frozenset({'LOTR2'}),frozenset({'LOTR1'}),0.2,0.2,0.2,1.0,5.0,0.16,inf
14,frozenset({'V1_Gladiator'}),frozenset({'Patriot'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
15,frozenset({'Patriot'}),frozenset({'V1_Gladiator'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
16,frozenset({'Patriot'}),frozenset({'V2_Patriot'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
17,frozenset({'V2_Patriot'}),frozenset({'Patriot'}),0.6,0.6,0.6,1.0,1.6666666666666667,0.24,inf
18,frozenset({'V3_Sixth Sense'}),frozenset({'Patriot'}),0.4,0.6,0.4,1.0,1.6666666666666667,0.16000000000000003,inf
